,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
287,320,0.17,1.75,0.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,686.0,657.716,693.14005,656.3080000000001,646.7462467850044,0,646.7462467850044,693.2442144579329
288,321,0.76,0.29,0.22,0.11,0.07,0.02,0.02,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,500.5,514.81,545.07624,518.1459999999998,500.484951071878,0,500.484951071878,499.9202291366273
289,322,0.5,0.34,0.32,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.5944444,587.1709999999999,590.77,600.3760000000001,574.7537022284687,0,574.7537022284687,570.771071876147
290,323,0.75,0.7,0.33,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,499.486,520.4759999999999,506.21200000000005,490.0208646472931,0,490.0208646472931,476.33521829626585
291,324,0.46,0.3,0.28,0.99,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.15,529.636,540.10116,547.1770000000001,561.012915617555,0,561.012915617555,548.8991224873275
292,325,0.51,0.72,0.27,0.94,0.15,0.05,0.2,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,548.0,553.1469999999999,562.98946,572.31,580.1573895393606,0,580.1573895393606,576.0637999144228
294,328,0.17,0.55,0.2,0.2,1.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,659.2810000000001,675.63265,661.9680000000001,697.4942925886136,0,697.4942925886136,685.4154136985125
295,329,0.33,2.16,0.32,0.0,2.02,0.64,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,551.221,568.1080999999999,561.6099999999999,548.8956791553668,0,548.8956791553668,561.7273148964015
296,330,0.41,1.41,1.51,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.018,597.0,575.492,591.9985499999999,575.7410000000001,595.0843844380929,0,595.0843844380929,595.7278427715456
297,331,0.35,1.62,0.47,0.1,0.1,0.01,0.11,0.0,0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.001,0.008,586.0,597.481,609.991,597.7950000000001,585.3812350409132,0,585.3812350409132,585.6442088946914
298,333,0.4,0.74,0.27,1.18,0.17,0.0,0.05,0.0,0.06,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,598.0,582.0879999999999,600.4258,600.9040000000001,594.1458247465437,0,594.1458247465437,633.7074816565685
299,334,0.41,0.84,0.35,0.35,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.018,609.0,595.177,602.1675,607.416,608.9801521523308,0,608.9801521523308,608.8429048351409
300,335,0.3,1.55,0.2,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,620.097,632.8725,623.7620000000001,630.2648668485991,0,630.2648668485991,626.1857282156568
