图号,钢号,C,Si,Mn,S,P,Nb,V,Ti,Al,N,Ni,W,Cu,Cr,B,Co,Mo,O,Sn,Re,Ms/°C,Ms (K)
110,40SiMnTi,0.38,1.11,1.05,0.022,0.017,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,365,638.15
111,40CrNiMoA,0.38,0.24,0.69,0.007,0.02,0,0,0,0,0,1.44,0,0.1,0.76,0,0,0.19,0,0,0,320,593.15
112,40Mn2A,0.42,0.34,1.6,0.028,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,588.15
113,40MnMoVNb,0.41,0.19,1.46,0.018,0.019,0.085,0.08,0,0,0,0,0,0,0,0,0,0.25,0,0,0,310,583.15
114,40SiMnWMoVRe,0.41,1.6,0.98,0.012,0.015,0,0.026,0,0,0,0.02,0.98,0.028,0.02,0,0,0.36,0,0,0.013,295,568.15
115,43SiMnCrNiMoVRe,0.42,1.57,1.29,0.007,0.014,0,0.2,0,0,0,0.56,0,0,1.18,0,0,0.46,0,0,0.01,290,563.15
116,45CrNiMoVA,0.46,0.27,0.63,0.006,0.017,0,0.16,0,0,0,1.57,0,0,0.94,0,0,0.25,0,0,0,280,553.15
117,45SiMnCrNiMo,0.47,0.73,0.98,0.02,0.022,0,0.06,0,0,0,1.32,0,0,0.84,0,0,0.27,0,0,0,250,523.15
119,58SiMn,0.54,1.34,1.1,0.0195,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
120,70SiMnV,0.7,1.2,1.3,0.02,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,210,483.15
121,U70SiMn,0.69,0.98,1.03,0.029,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,498.15
122,95MnNb,0.91,0.15,0.66,0.022,0.013,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,444.15
123,4Cr3Mo2V,0.38,0.39,0.73,0.015,0.023,0,1.16,0,0,0,0.007,0,0.13,2.46,0,0,2,0,0,0,340,613.15
