图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-512,4CrNi4Si2Mo,0.38,1.94,0.51,0.83,3.48,0.7,0,0,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-513,5CrNiWSi,0.57,0.9,0.46,1.34,1.16,0,0.47,0,0,0,0,0,0,0,0,0,0,250,523.15
 IV-1-514,5CrNiMoV,0.52,0.29,0.7,1.09,1.72,0.43,0,0.14,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-515,4Cr5MoWSi,0.32,0.95,0.35,4.86,0.04,1.45,1.29,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-516,4Cr5MoVSi,0.39,0.94,0.48,5.53,0.04,0.87,0,0.48,0,0,0.2,0,0,0,0,0,0,270,543.15
 IV-1-517,4Cr5MoVSi,0.39,0.94,0.48,5.53,0.04,0.87,0,0.48,0,0,0.2,0,0,0,0,0,0,370,643.15
 IV-1-518,4CrMoWV,0.39,0.58,0.45,1.45,0.13,0.47,0.55,0.7,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-519,4CrMoWV,0.39,0.58,0.45,1.45,0.13,0.47,0.55,0.7,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-520,5CrNiMoV,0.46,0.16,0.68,1.27,1.69,0.3,0,0.13,0,0,0,0,0,0,0,0,0,275,548.15
 IV-1-521,5CrNiMoV,0.52,0.29,0.7,1.09,1.72,0.43,0,0.14,0,0,0,0,0,0,0,0,0,250,523.15
 IV-1-522,5CrW2SiV,0.55,0.94,0.34,1.27,0.12,0.05,2.19,0.18,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-523,3Cr2W8SiV,0.28,0.96,0,2.8,0.54,0,8.77,0.24,0,0,0,0,0,0,0,0,0,390,663.15
 IV-1-524,3Cr2W4MoV,0.36,0.66,0.45,2.46,0,0.45,4.59,0.73,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-527,4Cr5Si1Mo1V1,0.4,1.1,0.4,5.3,0,1.4,0,1,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-528,4CrWSiMo1V,0.39,0.58,0.32,1.43,0.21,0.5,0.85,0.84,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-529,5CrWSiMo1V,0.47,0.73,0.5,1.2,0,0.39,0.45,1,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-530,9Cr,0.88,0.24,0.41,0.78,0.1,0,0,0,0,0,0.12,0,0,0,0,0,0,230,503.15
 IV-1-531,9Cr,0.95,0.29,0.28,1.62,0.13,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-532,9Cr,0.95,0.35,0.31,1.56,0.25,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-533,9Cr,0.95,0.35,0.31,1.56,0.25,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-534,9Cr2,0.89,0.32,0.3,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-535,Cr,1.01,0.3,0.5,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,205,478.15
 IV-1-536,Cr,0.98,0.35,0.4,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-537,Cr,1.08,0.25,0.53,1.46,0.33,0.06,0,0,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-539,Cr12,1.58,0.25,0.31,13.3,0.14,0,0,0,0,0,0,0,0,0,0,0,0,-70,203.15
 IV-1-545,W5,1.32,0.5,0.28,0.22,0,0,5.51,0.04,0,0,0.15,0,0,0,0,0,0,270,543.15
 IV-1-546,9V,0.87,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-547,V,1,0.25,0.2,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,200,473.15
 IV-1-548,9MnMo,0.97,0,1.04,0,0,0.32,0,0.25,0,0,0,0,0,0,0,0,0,170,443.15
 IV-1-549,9Mn2V,0.94,0.25,1.86,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-550,85CrV,0.83,0.26,0.4,0.63,0.25,0,0,0.17,0,0,0,0,0,0,0,0,0,215,488.15
 IV-1-551,9CrV,0.86,0.34,0.36,1.62,0.58,0,0,0.17,0,0,0,0,0,0,0,0,0,215,488.15
 IV-1-552,9CrV,0.87,0,0,1.63,0,0,0,0.18,0,0,0,0,0,0,0,0,0,185,458.15
 IV-1-553,9Cr2W,0.87,0.33,0.26,2.02,0.13,0,0.36,0,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-554,CrW3,0.82,0,0,1.39,0,0,3.23,0,0,0,0,0,0,0,0,0,0,205,478.15
 IV-1-556,5CrMnMo,0.58,0.4,1.17,0.76,0.34,0.21,0,0,0,0,0,0,0,0,0,0,0,225,498.15
 IV-1-557,CrMnV,1.42,0.37,0.61,1.37,0,0,0,0.18,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-558,CrMnV,1.42,0.37,0.61,1.37,0,0,0,0.18,0,0,0,0,0,0,0,0,0,110,383.15
 IV-1-559,5CrNiTi,0.52,0.18,0.56,1.15,1.66,0,0,0,0,0,0,0,0.12,0,0,0,0,230,503.15
 IV-1-560,9CrWMn,0.86,0.26,1.18,0.5,0,0,0.44,0,0,0,0,0,0,0,0,0,0,205,478.15
 IV-1-561,9CrWMn,0.93,0.23,1.17,0.54,0,0,0.77,0.14,0,0,0,0,0,0,0,0,0,205,478.15
 IV-1-562,CrWMn,1.03,0.19,0.98,1.03,0,0,1.68,0,0,0,0,0,0,0,0,0,0,210,483.15
 IV-1-563,CrWMn,1.03,0.28,0.97,1.05,0.13,0,1.15,0,0,0,0.25,0,0,0,0,0,0,245,518.15
 IV-1-564,CrWMn,1.03,0.28,0.97,1.05,0.13,0,1.15,0,0,0,0.25,0,0,0,0,0,0,155,428.15
 IV-1-565,9Cr2MoV,0.85,0.35,0.29,2,0,0.26,0,0.21,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-566,Cr5MoV,0.97,0.4,0.48,4.58,0,1.04,0,0.25,0,0,0,0,0,0,0,0,0,170,443.15
 IV-1-567,Cr5MoV,0.99,0.32,0.82,4.78,0,1.04,0,0.23,0,0,0,0,0,0,0,0,0,180,453.15
 IV-1-568,Cr5MoV,1,0.3,0.6,5.3,0,1.1,0,0.2,0,0,0,0,0,0,0,0,0,170,443.15
 IV-1-570,Cr12MoV,1.5,0.3,0.25,11.5,0,0.8,0,0.2,0,0,0,0,0,0,0,0,0,230,503.15
