图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
596,Cr12,2.07,0.32,0.42,0,0,0,13.4,0,0,0.17,0,0,0,0,0,0,0,0,0,210,483.15
598,Cr12,2.08,0.28,0.39,0,0,0,11.48,0,0,0.31,0,0,0,0,0,0.02,0,0,0,184,457.15
602,Cr12W,2.19,0.26,0.32,0,0,0,11.75,0,0,0,0.84,0,0,0,0,0.12,0,0,0,180,453.15
604,Cr12Mo,1.6,0,0.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,225,498.15
605,Cr12V,1.3,0.35,0.32,0,0,0,11.75,0,0,0,0,0.8,0,0,0,0,0,0,0,180,453.15
606,Cr12MoV,1.55,0.45,0.27,0,0,0,11.34,0,0,0,0,0.24,0,0,0,0.53,0,0,0,230,503.15
607,Cr12MoV,1.56,0,0,0,0,0,12.46,0,0,0.26,0.28,0.65,0,0,0,0.54,0,0,0,185,458.15
608,Cr12MoV,2.25,0,0,0,0,0,11.5,0,0,0,0,0.2,0,0,0,0.8,0,0,0,150,423.15
609,Cr12MoW,1.78,0,0,0,0,0,11.7,0,0,0.35,0.63,0.09,0,0,0,0.61,0,0,0,255,528.15
610,CrMn,1,0.22,1.12,0.03,0.008,0.015,0.99,0.22,0,0.12,0,0,0,0,0,0.02,0,0,0,220,493.15
612,CrMn,1.2,0.22,1.12,0.03,0.008,0.015,0.99,0.22,0,0.12,0,0,0,0,0,0.02,0,0,0,170,443.15
614,CrMn,1.4,0.27,0.56,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,245,518.15
615,CrMo,1,0.3,0.66,0.018,0.011,0.049,0.56,0.18,0.02,0.15,0,0,0,0.0004,0,0.44,0,0,0,150,423.15
617,CrW,1.18,0.11,0.34,0,0,0,0.41,0,0,0,1.61,0,0,0,0,0,0,0,0,150,423.15
618,CrW4,1.3,0.5,0.28,0,0,0,0.5,0,0,0,3.5,0,0,0,0,0,0,0,0,150,423.15
619,CrW4,1.38,0.31,0.44,0,0,0,0.67,0,0,0,4.31,0,0,0,0,0,0,0,0,100,373.15
620,CrWMn,1.03,0.19,0.98,0,0,0,1.03,0,0,0,1.68,0,0,0,0,0,0,0,0,210,483.15
621,CrWMn,1.03,0.28,0.97,0,0,0,1.05,0,0,0.13,1.15,0,0,0,0,0,0,0,0,245,518.15
625,CrMn2SiWMoV,1,0.55,2.25,0,0,0,1.15,0,0,0,0.9,0.3,0,0,0,0.95,0,0,0,120,393.15
626,Cr2Mn2SiWMoV,1,0.75,2.05,0,0,0,2.45,0,0,0,0.9,0.15,0,0,0,0.65,0,0,0,190,463.15
627,CrMn3SiWMoV,1,0.75,2.45,0,0,0,1.15,0,0,0,0.9,0.15,0,0,0,0.65,0,0,0,185,458.15
628,Cr4W2MoV,1.18,0.6,0.28,0.019,0.009,0,3.81,0,0,0.07,2.32,0.94,0,0,0,1.1,0,0,0,142,415.15
629,Cr4W2MoV,1.18,0.68,0.26,0.024,0.01,0,3.75,0,0,0.08,2.22,0.91,0,0,0,0.99,0,0,0,108,381.15
630,Cr6WV,1.075,0.32,0.43,0,0,0,6.25,0,0,0.32,1.3,0.6,0,0,0,0,0,0,0,100,373.15
631,SiMnWVNb,0.92,0.61,1.15,0.02,0.02,0,0,0,0,0,0.98,0.34,0,0,0,0,0,0,0.09,130,403.15
